Member State,Score,Global Rank
United Kingdom,0.931,1
United States of America,0.926,2
France,0.918,3
Lithuania,0.908,4
Estonia,0.905,5
Singapore,0.898,6
Spain,0.896,7
Malaysia,0.893,8
Canada,0.892,9
Norway,0.892,9
Australia,0.890,10
Luxembourg,0.886,11
Netherlands,0.885,12
Saudi Arabia,0.881,13
Japan,0.880,14
Mauritius,0.880,14
Republic of Korea,0.873,15
Oman,0.868,16
Qatar,0.860,17
Georgia,0.857,18
Finland,0.856,19
Turkey,0.853,20
Denmark,0.852,21
Germany,0.849,22
Egypt,0.842,23
Croatia,0.840,24
Italy,0.837,25
Russian Federation,0.836,26
China,0.828,27
Austria,0.826,28
Poland,0.815,29
Belgium,0.814,30
Hungary,0.812,31
Sweden,0.810,32
United Arab Emirates,0.807,33
The Republic of North Macedonia,0.800,34
Thailand,0.796,35
New Zealand,0.789,36
Switzerland,0.788,37
Ireland,0.784,38
Israel,0.783,39
Kazakhstan,0.778,40
Indonesia,0.776,41
Portugal,0.758,42
Monaco,0.751,43
Kenya,0.748,44
Latvia,0.748,44
Slovakia,0.729,45
Bulgaria,0.721,46
India,0.719,47
Slovenia,0.701,48
Rwanda,0.697,49
Viet Nam,0.693,50
Uruguay,0.681,51
Uzbekistan,0.666,52
Moldova,0.662,53
Ukraine,0.661,54
Azerbaijan,0.653,55
South Africa,0.652,56
Cyprus,0.652,56
Nigeria,0.650,57
Philippines,0.643,58
Serbia,0.643,58
Tanzania,0.642,59
Iran,0.641,60
Montenegro,0.639,61
Albania,0.631,62
Mexico,0.629,63
Brunei Darussalam,0.624,64
Uganda,0.621,65
Paraguay,0.603,66
Kuwait,0.600,67
Bahrain,0.585,68
Belarus,0.578,69
Brazil,0.577,70
Czech Republic,0.569,71
Romania,0.568,72
Colombia,0.565,73
Jordan,0.556,74
Liechtenstein,0.543,75
Tunisia,0.536,76
Greece,0.527,77
Bangladesh,0.525,78
Armenia,0.495,79
Benin,0.485,80
Cuba,0.481,81
Malta,0.479,82
Chile,0.470,83
Sri Lanka,0.466,84
Mongolia,0.465,85
Cote d'Ivoire,0.456,86
Iceland,0.449,87
Botswana,0.440,88
Ghana,0.437,89
Zambia,0.436,90
Cameroon,0.432,91
Dominican Republic,0.430,92
Morocco,0.429,93
Jamaica,0.407,94
Pakistan,0.407,94
Argentina,0.407,94
Peru,0.401,95
Burkina Faso,0.400,96
Panama,0.369,97
Samoa,0.367,98
Ecuador,0.367,98
Venezuela,0.354,99
Gabon,0.318,100
State of Palestine,0.307,101
Senegal,0.305,102
Sudan,0.294,103
Gambia,0.280,104
Ethiopia,0.278,105
Malawi,0.275,106
Tajikistan,0.263,107
Iraq,0.263,107
Algeria,0.262,108
Nepal,0.260,109
Seychelles,0.259,110
Kyrgyzstan,0.254,111
Guatemala,0.251,112
Antigua and Barbuda,0.247,113
Syrian Arab Republic,0.237,114
Costa Rica,0.221,115
Tonga,0.208,116
Libya,0.206,117
Liberia,0.206,117
Bosnia and Herzegovina,0.204,118
Madagascar,0.196,119
Lao People’s Democratic Republic,0.195,120
Fiji,0.194,121
Guinea,0.191,122
Trinidad and Tobago,0.188,123
Zimbabwe,0.186,124
Lebanon,0.186,124
Bhutan,0.181,125
Afghanistan,0.177,126
Barbados,0.173,127
Myanmar,0.172,128
Saint Vincent and the Grenadines,0.169,129
Congo,0.167,130
Cambodia,0.161,131
Mozambique,0.158,132
Bahamas,0.147,133
Grenada,0.143,134
Bolivia (Plurinational State of),0.139,135
Sierra Leone,0.138,136
Eswatini,0.133,137
Guyana,0.132,138
Papua New Guinea,0.131,139
Nicaragua,0.129,140
Belize,0.129,140
Namibia,0.127,141
El Salvador,0.124,142
Turkmenistan,0.115,143
Andorra,0.115,143
Suriname,0.110,144
Mauritania,0.107,145
Nauru,0.101,146
Chad,0.098,147
Vanuatu,0.098,147
Angola,0.097,148
Saint Lucia,0.096,149
Niger,0.094,150
Burundi,0.087,151
Togo,0.087,151
Mali,0.085,152
Timor-Leste,0.082,153
San Marino,0.075,154
Marshall Islands,0.072,155
Somalia,0.070,156
South Sudan,0.065,157
Saint Kitts and Nevis,0.065,157
Sao Tome and Principe,0.064,158
Djibouti,0.063,159
Solomon Islands,0.061,160
Tuvalu,0.057,161
Guinea-Bissau,0.055,162
Cabo Verde,0.051,163
Lesotho,0.051,163
Haiti,0.046,164
Honduras,0.044,165
Micronesia (Federated States of),0.040,166
Central African Republic,0.036,167
Equatorial Guinea,0.031,168
Kiribati,0.028,169
Vatican,0.021,170
Eritrea,0.020,171
Democratic People's Republic of Korea,0.020,171
Dominica,0.019,172
Yemen,0.019,172
Comoros,0.015,173
Democratic Republic of the Congo,0.008,174
Maldives,0.004,175
